Distance,Accuracy,ExpFGValue
18,1.00069622715269,3.00208868145807
19,0.9841184964447999,2.9523554893343995
20,0.9675407657369096,2.902622297210729
21,0.9509630350290192,2.8528891050870575
22,0.934385304321129,2.803155912963387
23,0.9178075736132387,2.7534227208397164
24,0.9012298429053485,2.7036895287160454
25,0.8846521121974582,2.6539563365923744
26,0.868074381489568,2.604223144468704
27,0.8514966507816777,2.5544899523450333
28,0.8349189200737874,2.5047567602213623
29,0.8183411893658972,2.4550235680976913
30,0.8017634586580069,2.4052903759740207
31,0.7851857279501167,2.35555718385035
32,0.7686079972422264,2.305823991726679
33,0.7520302665343361,2.256090799603008
34,0.7354525358264459,2.2063576074793376
35,0.7188748051185556,2.156624415355667
36,0.7022970744106654,2.106891223231996
37,0.6857193437027751,2.057158031108325
38,0.6691416129948848,2.0074248389846545
39,0.6525638822869946,1.9576916468609837
40,0.6359861515791043,1.907958454737313
41,0.619408420871214,1.858225262613642
42,0.6028306901633237,1.808492070489971
43,0.5862529594554334,1.7587588783663004
44,0.5696752287475432,1.7090256862426294
45,0.5530974980396529,1.6592924941189588
46,0.5365197673317627,1.6095593019952878
47,0.5199420366238724,1.5598261098716173
48,0.5033643059159821,1.5100929177479463
49,0.4867865752080919,1.4603597256242757
50,0.4702088445002016,1.4106265335006047
51,0.45363111379231136,1.3608933413769342
52,0.4370533830844211,1.3111601492532632
53,0.42047565237653084,1.2614269571295926
54,0.4038979216686406,1.2116937650059216
55,0.3873201909607503,1.161960572882251
56,0.37074246025285995,1.1122273807585799
57,0.3541647295449697,1.062494188634909
58,0.33758699883707943,1.0127609965112383
59,0.3210092681291892,0.9630278043875675
60,0.3044315374212989,0.9132946122638967
61,0.28785380671340866,0.863561420140226
62,0.2712760760055184,0.8138282280165552
64,0.23812061458973788,0.7143618437692136
66,0.20496515317395736,0.6148954595218721
67,0.1883874224660671,0.5651622673982013
