"","game_id","play_id","posteam","defteam","qtr","time","distance","yards_to_goal","score","fg_wp","punt_wp","go_wp","recommendation","choice","decision_value","desc","id"
"23",401234601,"401234601101884904","Georgia Tech","Louisville",1,"12:50",3,57,"0 - 0",0.40362044523146,0.535219845170526,0.510438673430568,"Punt","Go",-2.5,"Jerry Howard Jr. run for 9 yds to the Lvile 48 for a 1ST down",23
"24",401234601,"401234601101937804","Georgia Tech","Louisville",1,"6:21",1,87,"7 - 0",0.611452657483648,0.721131826493359,0.701923376951763,"Punt","Punt",1.9,"Pressley Harvin III punt for 48 yds , Rodjay Burns returns for 16 yds to the GTech 45",24
"25",401234601,"401234601102849906","Georgia Tech","Louisville",2,"15:00",7,57,"7 - 7",0.419305799705985,0.546903783870836,0.498950167021398,"Punt","Punt",4.8,"Pressley Harvin III punt for 57 yds for a touchback",25
"26",401234601,"401234601102926911","Georgia Tech","Louisville",2,"8:30",9,63,"7 - 14",0.181566493072098,0.253446711303648,0.22411302787124,"Punt","Punt",2.9,"Pressley Harvin III punt for 51 yds, fair catch by Javian Hawkins at the Lvile 12",26
"27",401234601,"401234601103849908","Georgia Tech","Louisville",3,"15:00",6,71,"14 - 21",0.151793706558329,0.230861336018842,0.200683819723435,"Punt","Punt",3,"Pressley Harvin III punt for 47 yds, downed at the Lvile 24",27
"28",401234601,"401234601104849908","Georgia Tech","Louisville",4,"15:00",16,48,"26 - 27",0.378011938650004,0.511989454175127,0.437186147755418,"Punt","Punt",7.5,"Pressley Harvin III punt for 36 yds, fair catch by Rodjay Burns at the Lvile 12",28
"29",401234610,"401234610101864201","Georgia Tech","Clemson",1,"14:57",5,70,"0 - 0",0.390956976125726,0.517696024022474,0.46028040749049,"Punt","Punt",5.7,"Pressley Harvin III punt for 37 yds, punt out-of-bounds at the Clem 33",29
"30",401234610,"401234610101906501","Georgia Tech","Clemson",1,"10:34",19,87,"0 - 0",0.336344818085221,0.444418163868702,0.368891510144689,"Punt","Punt",7.6,"Pressley Harvin III punt for 41 yds , Amari Rodgers returns for 13 yds to the GTech 41",30
"31",401234610,"401234610101974601","Georgia Tech","Clemson",1,"3:53",8,73,"7 - 17",0.103980431499509,0.158318177865081,0.13487773478092,"Punt","Punt",2.3,"Pressley Harvin III punt for 54 yds, punt out-of-bounds at the Clem 19",31
"32",401234610,"401234610102886701","Georgia Tech","Clemson",2,"12:32",4,76,"7 - 24",0.0303356385358653,0.0458858527736055,0.0435845564535987,"Punt","Punt",0.2,"Pressley Harvin III punt for 56 yds, fair catch by Amari Rodgers at the Clem 20",32
"33",401234610,"401234610102938601","Georgia Tech","Clemson",2,"6:13",18,83,"7 - 31",0.0116492995419413,0.0149540820881783,0.0119984740123839,"Punt","Punt",0.3,"Pressley Harvin III punt for 51 yds, fair catch by Amari Rodgers at the Clem 32",33
